time,src,dst,severity,message
2025-09-01 00:36:26,10.10.30.1:59539,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:26,10.10.40.1:59540,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:28,10.10.40.130:68,10.10.40.254:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:28,10.10.40.254:67,10.10.40.130:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:29,10.10.30.1:59539,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:29,10.10.40.1:59540,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:32,10.10.30.1:59539,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:32,10.10.40.1:59540,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:35,10.10.40.1:59540,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:35,10.10.30.1:59539,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:43,10.10.40.1:57621,10.10.40.255:57621,High,Anomalous UDP flow detected (score=-200.301)
2025-09-01 00:37:06,10.10.40.1:5353,224.0.0.251:5353,High,Anomalous UDP flow detected (score=-200.304)
2025-09-01 00:37:06,fe80::1233:ef3d:1cb9:f6cc:5353,ff02::fb:5353,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:37:06,10.10.30.1:5353,224.0.0.251:5353,High,Anomalous UDP flow detected (score=-200.304)
2025-09-01 00:37:06,fe80::b925:b1c0:671:8b5:5353,ff02::fb:5353,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:37:07,10.10.40.1:57574,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:37:07,10.10.30.1:57572,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:37:13,10.10.40.1:57621,10.10.40.255:57621,High,Anomalous UDP flow detected (score=-200.301)
2025-09-01 00:37:16,0.0.0.0:68,255.255.255.255:67,High,Anomalous UDP flow detected (score=-200.307)
